IGN,Face,Eye,Ear,Ring 1,Ring 2,Ring 3,Ring 4,Pendant 1,Pendant 2,Belt,Badge,Medal,Android,Heart
My2ndDarkKn,,,,,,,,,,,,,,Fairy
My2ndAngelic,,,,,,,,,,,,,,Lidium
My2ndSniper,,,,,,,,,,,,,,Lidium
thanhbinh5,,,,,,,,,,,,,,Lidium
My2ndShade,,,,,,,,,,,,,,Lidium
My2ndRanger,,,,,,,,,,,,,,
My2ndHero,,,,,,,,,,,,,,Lidium
My2ndMikhail,,,,,,,,,,,,,,
My2ndWA,,,,,,,,,,,,,,
My2ndPaladin,,,,,,,,,,,,,,
My2ndKhali,,,,,,,,,,,,,,
My2ndMoXuan,,,,,,,,,,,,,,
My2ndPF,,,,,,,,,,,,,,
My2ndLumin,,,,,,,,,,,,,,
thanhbinh6,,,,,,,,,,,,,,
My3rdPhantom,,,,,,,,,,,,,,
M2AMercedes,,,,,,,,,,,,,,
My2ndHoyoung,,,,,,,,,,,,,,Lidium
My2ndBW,,,,,,,,,,,,,,Lidium
My2ndIL,,,,,,,,,,,,,,
My2ndBishop,,,,,,,,,,,,,,
My2ndFPMage,,,,,,,,,,,,,,
My2ndBucc,,,,,,,,,,,,,,
My3rdCannon,,,,,,,,,,,,,,Lidium
My2ndCorsair,,,,,,,,,,,,,,
My2ndNL,,,,,,,,,,,,,,
My2ndBlaster,,,,,,,,,,,,,,
My2ndHayato,,,,,,,,,,,,,,
My2ndBT,,,,,,,,,,,,,,Lidium
My2ndDBlader,,,,,,,,,,,,,,
My2ndShadow,,,,,,,,,,,,,,
My3rdCadena,,,,,,,,,,,,,,
thanhbinh15,,,,,,,,,,,,,,
My2ndMech,,,,,,,,,,,,,,
My2ndKanna,,,,,,,,,,,,,,
My2ndDW,,,,,,,,,,,,,,Lidium
My2ndNW,,,,,,,,,,,,,,
My2ndDA,,,,,,,,,,,,,,
My2ndDS,,,,,,,,,,,,,,
My2ndLara,,,,,,,,,,,,,,Lidium
My2ndZero,,,,,,,,,,,,,,
My2ndStriker,,,,,,,,,,,,,,
My2ndArk,,,,,,,,,,,,,,Lidium
My2ndAdele,,,,,,,,,,,,,,
My2ndKine,,,,,,,,,,,,,,
My2ndKain,,,,,,,,,,,,,,
My2ndIllium,,,,,,,,,,,,,,Lidium
My3rdKaiser,,,,,,,,,,,,,,Lidium
Wild01Hunter,,,,,,,,,,,,,,
My2ndXenon,,,,,,,,,,,,,,Fairy
