IGN,Face,Eye,Ear,Ring 1,Ring 2,Ring 3,Ring 4,Pendant 1,Pendant 2,Belt,Badge,Medal,Android,Heart
My2ndRen,,,,,,,
My2ndDarkKn,,,,,,,,,,,,,,Fairy
My2ndAngelic,,,,,,,,,,,,,,Lidium
My2ndErel,,,,,,,,,,,,,,
My2ndBishop,,,,,,,,,,,,,,Lidium
My2ndHero,,,,,,,,,,,,,,Lidium
My2ndRanger,,,,,,,,,,,,,,Lidium
My2ndShade,,,,,,,,,,,,,,Lidium
My2ndSia,,,,,,,,,,,,,,Lidium
My2ndSniper,,,,,,,,,,,,,,Lidium
thanhbinh5,,,,,,,,,,,,,,Lidium
My2ndKhali,,,,,,,,,,,,,,Lidium
My2ndMikhail,,,,,,,,,,,,,,Lidium
My2ndMoXuan,,,,,,,,,,,,,,Lidium
My2ndPF,,,,,,,,,,,,,,Lidium
My2ndPaladin,,,,,,,,,,,,,,Lidium
My2ndWA,,,,,,,,,,,,,,Fairy
My3rdKaiser,,,,,,,,,,,,,,Lidium
M2AMercedes,,,,,,,,,,,,,,Lidium
My2ndLumin,,,,,,,,,,,,,,Lidium
My3rdPhantom,,,,,,,,,,,,,,Lidium
thanhbinh6,,,,,,,,,,,,,,Lidium
My2ndAdele,,,,,,,,,,,,,,
My2ndArk,,,,,,,,,,,,,,Lidium
My2ndBT,,,,,,,,,,,,,,Lidium
My2ndBW,,,,,,,,,,,,,,Lidium
My2ndBlaster,,,,,,,,,,,,,,
My2ndBucc,,,,,,,,,,,,,,
My2ndCorsair,,,,,,,,,,,,,,
My2ndDA,,,,,,,,,,,,,,
My2ndDBlader,,,,,,,,,,,,,,
My2ndDS,,,,,,,,,,,,,,
My2ndDW,,,,,,,,,,,,,,Lidium
My2ndFPMage,,,,,,,,,,,,,,
My2ndHayato,,,,,,,,,,,,,,Lidium
My2ndHoyoung,,,,,,,,,,,,,,Lidium
My2ndILMage,,,,,,,,,,,,,,
My2ndIllium,,,,,,,,,,,,,,Lidium
My2ndKain,,,,,,,,,,,,,,
My2ndKanna,,,,,,,,,,,,,,
My2ndKine,,,,,,,,,,,,,,
My2ndLara,,,,,,,,,,,,,,Lidium
My2ndMech,,,,,,,,,,,,,,
My2ndNL,,,,,,,,,,,,,,
My2ndNW,,,,,,,,,,,,,,
My2ndShadow,,,,,,,,,,,,,,
My2ndStriker,,,,,,,,,,,,,,
My2ndXenon,,,,,,,,,,,,,,Fairy
My2ndZero,,,,,,,,,,,,,,Lidium
My3rdCadena,,,,,,,,,,,,,,
My3rdCannon,,,,,,,,,,,,,,Lidium
Wild01Hunter,,,,,,,,,,,,,,Lidium
thanhbinh15,,,,,,,,,,,,,,
