jobName,faction,archetype,fullName,linkSkillMaxLevel,mainstat,jobID,Guide,Discord,Wiki,Website
lara,Anima,Magician,Lara,3,INT,223
hy,Anima,Thief,Hoyoung,3,LUK,220
zero,Child Of God,Warrior,Zero,3,STR,210
bw,Cygnus Knight,Magician,Blaze Wizard,3,INT,12
dw,Cygnus Knight,Warrior,Dawn Warrior,3,STR,11
mihile,Cygnus Knight,Warrior,Mihile,3,STR,202
wa,Cygnus Knight,Archer,Wind Archer,3,STR,13
nw,Cygnus Knight,Thief,Night Walker,3,LUK,14
tb,Cygnus Knight,Pirate,Thunder Breaker,3,STR,15
dk,Explorer,Warrior,Dark Knight,3,STR,1
hero,Explorer,Warrior,Hero,3,STR,1
pally,Explorer,Warrior,Paladin,3,STR,1
fp,Explorer,Magician,Arch Mage (Fire & Poison),3,INT,2
il,Explorer,Magician,Arch Mage (Ice & Lightning),3,INT,2
bishop,Explorer,Magician,Bishop,3,INT,2
bm,Explorer,Archer,Bowmaster,3,DEX,3
mm,Explorer,Archer,Marksman,3,DEX,3
pf,Explorer,Archer,Pathfinder,3,DEX,3
db,Explorer,Thief,Blade Master,3,LUK,4
nl,Explorer,Thief,Night Lord,3,LUK,4
shad,Explorer,Thief,Shadower,3,LUK,4
bucc,Explorer,Pirate,Buccaneer,3,STR,5
cm,Explorer,Pirate,Cannon Master,3,STR,5
sair,Explorer,Pirate,Corsair,3,DEX,5
illium,Flora,Magician,Illium,3,INT,217
khali,Flora,Thief,Khali,3,LUK,224
adele,Flora,Warrior,Adele,3,STR,221
ark,Flora,Pirate,Ark,3,STR,218
kine,Friendstory,Magician,Kinesis,3,INT,214
aran,Heroes,Warrior,Aran,3,STR,21
evan,Heroes,Magician,Evan,3,INT,22
lumi,Heroes,Magician,Luminous,3,INT,203
merc,Heroes,Archer,Mercedes,3,DEX,23,https://docs.google.com/document/d/1Sz5rdODR3cgaw3WcfjjVN_OBQV2298vc_kVyFOfdh_8/edit,,
phantom,Heroes,Thief,Phantom,3,LUK,24
shade,Heroes,Pirate,Shade,3,STR,212
lynn,Jianghu,Magician,Lynn,3,INT,225
mx,Jianghu,Pirate,Mo Xuan,3,DEX,226
kaiser,Nova,Warrior,Kaiser,3,STR,204
kain,Nova,Archer,Kain,3,DEX,222
cadena,Nova,Thief,Cadena,3,LUK,216
ab,Nova,Pirate,Angelic Buster,3,DEX,205
blaster,Resistance,Warrior,Blaster,3,STR,215
da,Resistance,Warrior,Demon Avenger,3,HP,209
ds,Resistance,Warrior,Demon Slayer,3,STR,31
bam,Resistance,Magician,Battle Mage,3,INT,32
wh,Resistance,Archer,Wild Hunter,3,DEX,33
xenon,Resistance,Thief,Xenon,3,STR DEX LUK,208
mech,Resistance,Pirate,Mechanic,3,DEX,35
kanna,Sengoku,Magician,Kanna,3,INT,207
hayato,Sengoku,Warrior,Hayato,3,STR,206
sia,Shine,Magician,Sia Astelle,3,INT,227
ren,Anima,Warrior,Ren,3,STR,207
erel,Shine,Warrior,Erel,3,STR,228
