IGN,J1,J2,J3,J4,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
My2ndRen,30,30,30,30,60,60,60,60,60,60,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
My2ndDarkKn,30,30,30,30,60,60,60,60,60,60,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
My2ndAngelic,30,30,30,30,60,60,60,60,60,60,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
My2ndErel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndHero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndBishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndRanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndSniper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndKine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thanhbinh5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndShade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndSia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndMikhail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndPaladin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndKhali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndMoXuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My3rdKaiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndLumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2AMercedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My3rdPhantom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thanhbinh6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndLara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndHoyoung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndZero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndDW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndStriker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndFPMage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndILMage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndDBlader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndShadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndBucc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndCorsair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My3rdCannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndAdele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndIllium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndArk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndKain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My3rdCadena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndBlaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thanhbinh15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild01Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndXenon,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
My2ndMech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndHayato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My2ndKanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
