IGN,Skill Origin,Skill Ascent,Mastery 1,Mastery 2,Mastery 3,Mastery 4,Boost 1,Boost 2,Boost 3,Boost 4,Common Janus,Common Hecate
My2ndRen,1,,,,,,,,,,,
My2ndDarkKn,1,,,,,,,,,,,
My2ndAngelic,1,,,,,,,,,,,
My2ndErel,1,,,,,,,,,,,
My2ndHero,1,,,,,,,,,,,
My2ndBishop,1,,,,,,,,,,,
My2ndRanger,1,,,,,,,,,,,
My2ndSniper,1,,,,,,,,,,,
My2ndKine,1,,,,,,,,,,,
thanhbinh5,1,,,,,,,,,,,
My2ndShade,1,,,,,,,,,,,
My2ndSia,1,,,,,,,,,,,
My2ndMikhail,1,,,,,,,,,,,
My2ndWA,1,,,,,,,,,,,
My2ndPaladin,1,,,,,,,,,,,
My2ndPF,1,,,,,,,,,,,
My2ndKhali,1,,,,,,,,,,,
My2ndMoXuan,1,,,,,,,,,,,
My3rdKaiser,1,,,,,,,,,,,
My2ndLumin,1,,,,,,,,,,,
M2AMercedes,1,,,,,,,,,,,
My3rdPhantom,1,,,,,,,,,,,
thanhbinh6,1,,,,,,,,,,,
My2ndLara,1,,,,,,,,,,,
My2ndHoyoung,1,,,,,,,,,,,
My2ndZero,1,,,,,,,,,,,
My2ndDW,1,,,,,,,,,,,
My2ndBW,1,,,,,,,,,,,
My2ndNW,1,,,,,,,,,,,
My2ndStriker,1,,,,,,,,,,,
My2ndFPMage,1,,,,,,,,,,,
My2ndILMage,1,,,,,,,,,,,
My2ndDBlader,1,,,,,,,,,,,
My2ndNL,1,,,,,,,,,,,
My2ndShadow,1,,,,,,,,,,,
My2ndBucc,1,,,,,,,,,,,
My2ndCorsair,1,,,,,,,,,,,
My3rdCannon,1,,,,,,,,,,,
My2ndAdele,1,,,,,,,,,,,
My2ndIllium,1,,,,,,,,,,,
My2ndArk,1,,,,,,,,,,,
My2ndBT,1,,,,,,,,,,,
My2ndKain,1,,,,,,,,,,,
My3rdCadena,1,,,,,,,,,,,
My2ndBlaster,1,,,,,,,,,,,
My2ndDA,1,,,,,,,,,,,
My2ndDS,1,,,,,,,,,,,
thanhbinh15,1,,,,,,,,,,,
Wild01Hunter,1,,,,,,,,,,,
My2ndXenon,1,,,,,,,,,,,
My2ndMech,1,,,,,,,,,,,
My2ndHayato,1,,,,,,,,,,,
My2ndKanna,1,,,,,,,,,,,
